question_id,question_id,question_text,correct_answer_text,main_area,sub_area,topic,subtopic,source_exam,question_type
1,,En el tratamiento de diabetes mellitus tipo 2. ¿Cuál de los siguientes fármacos aumenta la excreción urinaria de glucosa?,Empagliflozina,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes 2018/PRUEBA A;residentado,regular
2,,"Mujer de 50 años, desde hace 6 años aumento progresivo del volumen en cuello, sin dolor. Hace un año se agrega tos y disfagia, cansancio. Examen: tiroides aumentada de tamaño, nódulo de 3 x 3 cm. superficie irregular y consistencia dura. Laboratorio: TSH elevado, ecografía: nódulo sólido hipoecogénico, contornos irregulares con microcalcificaciones centrales, más alto que ancho. ¿Cuál es el diagnóstico más probable?",Carcinoma papilar,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,Examenes 2022/Radiología;residentado,regular
3,,"¿Según la Guía de Práctica Clínica para el Diagnóstico, Tratamiento y Control de la Diabetes Mellitus Tipo 2 en el Primer Nivel de Atención. ¿Cuál es un factor de riesgo asociado al medio ambiente?",Riesgo ocupacional,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes 2023/OFTALMOLOGÍA;residentado,regular
4,,"Mujer de 40 años, que presenta un nódulo tiroideo de 10 mm de diámetro asintomático. ¿Cuál es el procedimiento indicado?",Biopsia por aspiración con aguja fina,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,Examenes 2018/CIRUGIA;residentado,regular
5,,"¿Cuál es la deficiencia vitamínica que produce demencia, dermatitis y diarrea?",Niacina,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Desnutrición y avitaminosis,Examenes 2024/ANATOMÍA PATOLÓGICA;residentado,regular
6,,¿Cuál es la respuesta neuroendocrina hallada en shock?,Mavor liberación de ACTH,CLÍNICO MÉDICAS,EMERGENCIAS Y CUIDADOS CRÍTICOS ADULTOS,INSUFICIENCIA O FALLA CIRCULATORIA. SHOCK,,Examenes 2018/PRUEBA A;residentado,regular
7,,¿Cuál es el criterio diagnóstico de osteoporosis según la OMS en mujeres mayores de 65 años?,Densitometría ósea inferior a -2.5 DE en cualquier localización,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Osteoporosis,Examenes 2017/prueba a;residentado,regular
8,,¿Cuál es el sitio más frecuente de metástasis a distancia del carcinoma papilar tiroideo?,Pulmón,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Nódulos tiroideos,Examenes 2017/RADIOLOGIA;residentado,regular
10,,"Mujer de 48 años, con historia familiar de hipotiroidismo, es admitida a hospitalización por presentar sepsis 2° a bronconeumonía, permaneciendo en ayuno durante 7 días. Considerando la historia familiar de hipotiroidismo se realizó estudio hormonal tiroideo; reportándose ser una paciente eutiroidea. ¿Cuál sería el resultado hormonal NO relacionado con su diagnóstico?",TSH disminuido,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,Examenes 2017/prueba a;residentado,regular
11,,"Mujer de 32 años con amenorrea e infertilidad secundaria de un año, piel seca, engrosada, pulso lento y aumento de peso en los dos últimos años. Ecografía pélvica: útero y ovarios sin alteraciones. Dosaje de FSH: 18 mUI/ml. ¿Cuál es el diagnóstico más probable?",Hipotiroidismo,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,Examenes 2017/prueba b;residentado,regular
12,,"¿Cuál de los siguientes medicamentos, es actualmente considerado de primera línea para el tratamiento de pacientes con Diabetes Mellitus 2 que no presenten nefropatía, alcoholismo o disfunción hepática?",Metformina,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,Examenes 2017/prueba b;residentado,regular
13,,¿Cuál es la intervención quirúrgica indicada en un paciente con bocio difuso tóxico?,Tiroidectomía subtotal bilateral,CLÍNICO QUIRÚRGICAS,CIRUGÍA,CIRUGÍA GENERAL,Heridas de piel y faneras,Examenes 2017/CIRUGIA;residentado,regular
14,,"Mujer de 65 años, consulta por dolor en columna dorso lumbar de dos años de evolución. Se plantea el diagnóstico de osteoporosis. ¿Qué examen solicita para confirmar el diagnóstico?",Densitometría ósea,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Osteoporosis,residentado,regular
15,,"Mujer de 53 años, acude por cansancio, sequedad de piel, caída de cabello y aumento de peso. Se sospecha hipotiroidismo primario. ¿Cuál de los siguientes hallazgos confirma el diagnóstico?",TSH elevada y T4 baja,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
17,,"Varón de 57 años, obeso, consulta por polidipsia y poliuria. ¿Cuál es un criterio que contribuye al diagnóstico de diabetes?",Glicemia en ayunas superior a 126 mg/dL,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
18,,"Mujer de 25 años diabética mal controlada, acude a emergencia deshidratada y somnolienta. Examen: FC: 90 X', FR: 28 X', PA: 110/70 mmHg. Laboratorio: glicemia: 280 mg/dL, glucosuria y cetonuria. ¿En qué segmento de la nefrona se ha superado el mecanismo de transporte máximo de glucosa?",Túbulo proximal,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
19,,"Mujer de 60 años, consulta por debilidad muscular, poliuria, polidipsia, dolores articulares y estreñimiento. Antecedente: úlcera péptica. Examen: PA: 150/95 mmHg. EKG, QT corto y onda T ensanchada. Laboratorio: calcio sérico y paratohormona elevadas. ¿Cuál es el diagnóstico?",Hiperparatiroidismo primario,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Osteoporosis,Examenes - 2019/PRUEBA A;residentado,regular
20,,"Según la Organización Mundial de la Salud, se define obesidad clase Il cuando el IMC está entre......kg/m2",35 - 39.9,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
21,,¿Cuál de los siguientes patrones bioquímicos se encuentra en la osteoporosis?,"Calcemia normal, fosforemia normal y fosfatasa alcalina normal",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Osteoporosis,residentado,regular
22,,"Mujer de 46 años, hace 6 meses presenta fatiga, letargia, aumento de peso a pesar de pérdida del apetito, intolerancia al frío, ronquera y estreñimiento. Se realiza control de hormonas tiroideas y se encuentra TSH: 26 mUI/L y T4 Libre: disminuida, EKG: normal Ud. inicia tratamiento con Levotiroxina. ¿Cuál es la dosis inicial en microgramos por día?",50 - 100,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Hipotiroidismo,residentado,regular
23,,"Mujer de 55 años, con Diabetes mellitus tipo 2, de 10 años de evolución con tratamiento habitual con Metformina y Sitagliptina, con ejercicio escaso y dieta adecuada. Sus controles han pasado de glicemias basales de 110-140 a 170?200, Hb glicosilada: 8.5%. ¿Cuál es el tratamiento indicado?",Asociar al tratamiento una dosis de insulina basal,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
24,,Cuál de las siguientes alteraciones produce con más frecuencia hipernatremia?,Diuresis osmótica,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS RENALES,Alteraciones del equilibrio hidroelectrolítico,Examenes - 2019/PRUEBA B;residentado,regular
