question_id,answer_text
1,Empagliflozina
2,Carcinoma papilar
3,Riesgo ocupacional
4,Biopsia por aspiración con aguja fina
5,Niacina
6,Mavor liberación de ACTH
7,Densitometría ósea inferior a -2.5 DE en cualquier localización
8,Pulmón
10,TSH disminuido
11,Hipotiroidismo
12,Metformina
13,Tiroidectomía subtotal bilateral
14,Densitometría ósea
15,TSH elevada y T4 baja
17,Glicemia en ayunas superior a 126 mg/dL
18,Túbulo proximal
19,Hiperparatiroidismo primario
20,35 - 39.9
21,"Calcemia normal, fosforemia normal y fosfatasa alcalina normal"
22,50 - 100
23,Asociar al tratamiento una dosis de insulina basal
24,Diuresis osmótica
25,Agenesia paratiroidea
26,Hipertensión arterial.
27,Cetoacidosis diabética
28,Hiperosmolar.
29,Punción y aspiración con aguja fina.
30,Amina.
31,Anticuerpos antireceptor de TSH.
32,Tiroidectomia total.
33,Metanefrinas urinarias
34,126
35,Gluconeogénesis hepática aumentada.
36,Hemoglobina glicosilada mayor de 6.5%.
37,Cetoacidosis diabética.
38,Cortisol libre en orina de 24 horas
39,Tiroiditis subaguda.
40,Turner.
41,Carcinoma papilar.
42,2
43,Tiroiditis de Hashimoto.
44,Primaria que acompaña al hipogonadismo hipogonadotrófico
45,T3 baja.
46,Hiperosmolar.
47,Obesidad central o centrípeta y plétora facial.
48,Síndrome de Turner.
49,Enfermedad de Addison.
50,Diabetes mellitus tipo 1.
51,Obesidad
52,Carcinoma papilar.
53,Papilar
54,Carcinoma papilar
55,Feocromocitoma.
56,Catecolaminas libres y metanefrinas en orina de 24 horas.
57,Hipotiroidismo
58,L-tiroxina 25 ug/día
59,Reflejo osteotendinoso lentificado.
60,Hipotiroidismo
61,Metformina.
62,La presencia de un nódulo no funcionante
63,Malabsorción intestinal
64,Dieta y bajar de peso.
65,Moderada.
66,Hipotiroidismo
67,Hipoinsulinismo
68,Existe una correlación directa entre la obesidad y la osteoporosis
70,Ejercicio
71,Hemoglobina glicosilada.
72,3 meses anteriores.
73,DM.
74,Sodio sérico de 115 mEq/L.
75,Inhibidor de la ECA
76,Adultos mayores de 40 años
77,Sulfonilureas
78,Glucemias no superiores a 140 mg/dl
79,Gliquidona.
80,Aparición brusca de síntomas.
81,"Inhibición de la sucrasa, maltasa y glucosinasa."
82,Se le diagnóstica diabetes mellitus tipo 2 y se le inicia tratamiento con dieta.
83,Hidratación
84,A los 30 minutos.
85,Perfil glucémico (4 a 6 determinaciones antes y/o después de las principales comidas)
86,"Si se trata de un fenómeno de Somogyi, se debe reducir la dosis de insulina de la cena"
87,"Dolor abdominal, respiración de Kussmaul y cetonuria."
88,La corrección de la acidosis
89,Hiperpotasemia.
90,Coma hiperosmolar no cetosico.
91,Insulina cristalina por infusión
92,Administración de expansores plasmáticos
93,Disminuir la dosis de insulina NPH antes de la cena
94,Hipoglucemia facticia por sulfonilureas.
95,Desprendimiento de retina
96,Microanerurismas.
97,Microalbuminuria.
98,Albuminuria
99,Solicitar tolerancia oral de glucosa.
100,125-140
101,"Test de ayuno prolongado, determinando glucemia e insulinemia."
102,Alcoholismo.
103,"1,2,5"
104,Hiperglucemia reactiva a hipoglucemia
106,200 U
107,Hiperplasia suprarrenal bilateral dependiente de ACTH hipofisaria.
108,La piel es engrosada y pálida.
109,Síndrome de Cushing.
110,"Test de supresión con dexametasona a dosis de 0,5 mg cada 6 horas, durante 48 horas"
111,Enfermedad de Cushing.
112,Enfermedad de Cushing.
113,Crisis suprarrenal.
114,Insuficiencia suprarrenal.
115,Subaguda.
116,Tiroiditis granulomatosa (subaguda o de Quervain)
117,Dolor y sensibilidad local de la glándula tiroidea
118,Mixedema del adulto
119,Se trata de una tiroiditis indolora o silente.
120,Tiroiditis de Riedel
121,Tiroiditis de Hashimoto.
122,Crónica de Hashimoto
123,Tiroiditis de Hashimoto.
124,III
125,Galactorrea.
126,Retardo mental.
127,Síndrome de Klinefelter
128,Testículos de tamaño y consistencia normales.
129,Sindrome de Kallman-Morsier
130,Kallman.
131,Anosmia.
132,Síndrome de feminización testicular
133,"Termográficamente ""caliente""."
134,Desplazamiento del tiroides con la deglución.
135,La punción-aspiración con aguja fina
136,Biopsia del nódulo por punción percutánea
137,Biopsia tiroidea intraoperatoria.
138,Punción aspiración con aguja fina
139,Presencia de adenopatías cervicales homolaterales
140,Carcinoma anaplásico.
141,Determinación de catecolaminas en orina de 24 horas.
142,Corticoides y luego adicionar hormona tiroidea.
143,Hipotiroidismo.
144,Hipotiroidismo.
145,Hipotiroidismo primario.
146,Hipotiroidismo.
147,TSH
148,Hipertrofia e hiperplasia.
149,Pérdida de peso con aumento de apetito.
150,Beta-bloqueante
151,"TSH, T3 y T4 libre."
152,TSH y T4 libre
153,Efecto Wolff-Chaikoff
154,Enfermedad de Jod-Basedow.
155,Jod Basedow
156,Niveles de tiroglobulina.
157,Metimazol.
158,Un test de la TRH
159,Bocio multinodular tóxico
160,Hipertiroidismo por yodo
161,Hipertiroidismo secundario
162,Aspirina y propanolol
163,Bocio difuso y exoftalmos.
164,Farmacos antitiroideos.
165,Propiltiouracilo.
166,Yodo radiactivo.
167,Síndrome del eutiroideo enfermo
168,Hormona gonadotrofina corionica.
169,Enfermedad de Addison.
170,Hipokalemia.
171,Enfermedad tuberculosa.
172,Tuberculosis.
173,Enfermedad de Addison.
174,Disminución de los requerimientos de insulina.
175,Prueba de estimulación con ACTH
176,Atorvastatina.
177,"Colesterol total alto, LDL alta y triglicéridos altos"
178,Régimen hipocalórico.
179,Gemfibrozil.
180,Adelgazar
181,Hipertiroidismo
182,Suspender el alcohol por completo
183,Lovastatina y altas dosis
184,LDL < 100 mg/dL
185,"Déficit de 21-hidroxilasa forma clásica""."
186,Hiperplasia suprarrenal congénita
187,Hidrocortisona
188,Crecimiento longitudinal de los pies.
189,Análogo de somatostatina
