question_id,answer_text
1,Sitagliptina
1,Metformina
1,Glimepirida
1,Pioglitazona
2,Enfermedad de Plummer
2,Tiroiditis de Hashimoto
2,Bocio endémico
2,Carcinoma folicular
3,Sedentarismo
3,Altitud de residencia
3,Malos hábitos alimenticios
3,Bajo grado de Instrucción
4,Gammagrafía tiroidea
4,Resección quirúrgica
4,Biopsia del nódulo
4,Dosaje de TSH
5,Piridoxina
5,Riboflavina
5,Cianocobalamina
5,Tiamina
6,Descenso del estímulo adrenérgico
6,Inhibición de liberación del péptido natriurético cerebral
6,Menor secreción pancreática de glucagón
6,Disminución de liberación de renina
7,Fracturas patológicas en cadera
7,Acuñamiento anterior de las vertebras
7,Fracturas patológicas en muñeca y cadera
7,Densitometría ósea inferior a -1.5 DE en cuello de fémur
8,Corazón
8,Esófago
8,Diafragma
8,Tráquea
10,TSH normal
10,T4 normal
10,T3 baja
10,rT3 elevada
11,Falla ovárica prematura
11,Hiperprolactinemia
11,Enfermedad de Addison
11,Síndrome de Cushing
12,Glibenclamida
12,Nateglinida
12,Acarbosa
12,Exenatida
13,Tiroidectomia total
13,Lobectomía+istmectomía
13,Istmectomía
13,Lobectomía
14,Resonancia magnética con secuencia espectroscópica
14,Resonancia magnética con secuencia de difusión
14,Resonancia magnética funcional
14,Tomografia axial computarizada ósea
15,TSH elevada y T4 normal
15,TSH normal
15,TSH normal y T4 baja
15,TSH baja y T4 baja
17,Glicemia postprandial menor a 160 mg/dL
17,Hemoglobina glucosilada menor a 6.5%
17,Test de tolerancia a la glucosa menor de 140 mg/dL
17,Glicemia al azar de 160 mg/dL
18,Asa de Henle
18,Túbulo distal
18,Túbulo colector
18,Glomerulo
19,Diabetes mellitus tipo II
19,Hiperparatiroidismo secundario
19,Osteodistrofia renal
19,Síndrome pluriglandular
20,20 - 24.9
20,30 - 34.9
20,25 - 29.9
20,40 - 44.9
21,"Calcemia elevada, fosforemia normal y fosfatasa alcalina elevada."
21,"Calcemia elevada, fosforemia normal y fosfatasa alcalina normal o discretamente elevada."
21,"Calcemia normal, fosforemia baja y fosfatasa alcalina normal."
21,"Calcemia elevada, fosforemia baja y fosfatasa alcalina baja."
22,150 - 200
22,43758
22,25-50
22,100 - 150
23,Aumentar ingesta de proteínas
23,Sustituir Metformina por Glimepirida
23,Asociar al tratamiento Ascarboza
23,Sustituir Sitagliptina por Pioglitazona
24,Hiperlipidemia
24,Hipoadrenalismo
24,Liberación de vasopresina
24,Hipotiroidismo
25,Insuficiencia suprarrenal
25,Inmovilizacion
25,Ingesta de vitamina A
25,Feocromocitoma
26,Hipertiroidismo.
26,Hiperdinamismo.
26,Hipocolesterolemia.
26,Cirrosis hepática.
27,Meningoencefalitis
27,Peritonitis
27,Pancreatitis
27,Accidente cerebrovascular
28,Cetoacidotico.
28,Mixto
28,Ayuno prolongado.
28,Hiperglucemia reactiva.
29,Ecografia de superficie.
29,Gammagrafía cervical.
29,Resonancia magnética nuclear.
29,Tomografia axial computarizada
30,Lipica.
30,Fosfolipica.
30,Peptidica.
30,Glucoproteica.
31,T4 libre (tiroxina).
31,Tirotrofina.
31,Triyododotropina (T3).
31,Captación tiroidea de yodo.
32,Tiroidectomia subtotal.
32,Istmectomia.
32,Lobectomía.
32,Resección del nodulo.
33,Cortisol plasmático.
33,Renina sérica.
33,IGF-1.
33,Aldosterona
34,120
34,114
34,140
34,160
35,Elevación de glucógeno hepático.
35,Movilización acelerada de los depósitos de grasa.
35,Conversión directa de los ácidos grasos libres.
35,Presencia de inhibidores de la glucogénesis.
36,Glucosa mayor de 140 mg/dL a las 2 h de una carga de glucosa.
36,Glucosa aleatoria mayor de 140mg/dl.
36,Glucosa mayor de 126mg/dl.
36,Glucosa post prandial mayor de 180mg/dl.
37,Hipoglicemia.
37,Hiperglicemia.
37,Coma hiperosmolar.
37,Insulino resistente.
38,Cortisol plasmático basal.
38,Dosaje de hormonas androgénicas.
38,Concentración plasmática basal de ACTH.
38,Cortisol urinario basal.
39,Enfermedad de Graves.
